Month,Rainfall (cm)
1931-04,126.9
1931-05,131.7
1931-06,541.7
1931-07,653.9
1931-08,1199.2
1931-09,163.2
1931-10,149.3
1931-11,164.3
1931-12,106.5
1932-01,0.1
1932-02,19.3
1932-03,28.6
1932-04,113
1932-05,646.5
1932-06,341
1932-07,716.4
1932-08,423.2
1932-09,317.3
1932-10,543.2
1932-11,223.2
1932-12,31.3
1933-01,1
1933-02,9.3
1933-03,36.9
1933-04,139.5
1933-05,738.8
1933-06,859.3
1933-07,773.4
1933-08,479.5
1933-09,469.7
1933-10,397
1933-11,126.1
1933-12,42.3
1934-01,74.5
1934-02,1.7
1934-03,47.7
1934-04,92.4
1934-05,106.7
1934-06,852.9
1934-07,415
1934-08,337.2
1934-09,48.4
1934-10,335.9
1934-11,93.4
1934-12,4.9
1935-01,23.9
1935-02,8.3
1935-03,18.1
1935-04,120.7
1935-05,56.6
1935-06,431.3
1935-07,687.3
1935-08,280.9
1935-09,283.3
1935-10,403.8
1935-11,153
1935-12,30.9
1936-01,1.2
1936-02,16.5
1936-03,116
1936-04,34
1936-05,466.5
1936-06,620.8
1936-07,672.1
1936-08,367.9
1936-09,286.7
1936-10,231.7
1936-11,211.1
1936-12,18.6
1937-01,6.5
1937-02,21.2
1937-03,58.7
1937-04,175.5
1937-05,137.1
1937-06,485.6
1937-07,970.5
1937-08,281.2
1937-09,139.8
1937-10,401.9
1937-11,121
1937-12,19.1
1938-01,0.3
1938-02,79
1938-03,53.3
1938-04,164.5
1938-05,179.6
1938-06,681.6
1938-07,648.6
1938-08,287.9
1938-09,223.2
1938-10,223.7
1938-11,69.5
1938-12,22.9
1939-01,13.6
1939-02,3.6
1939-03,24.9
1939-04,172.8
1939-05,105.1
1939-06,625.8
1939-07,749.6
1939-08,459.9
1939-09,134.1
1939-10,339.8
1939-11,298.1
1939-12,10.2
1940-01,0.6
1940-02,1.5
1940-03,3.8
1940-04,126.5
1940-05,217.4
1940-06,606.4
1940-07,877.3
1940-08,610.8
1940-09,68.2
1940-10,257.7
1940-11,287.5
1940-12,60.1
1941-01,15.9
1941-02,4.6
1941-03,12.7
1941-04,101.9
1941-05,417.5
1941-06,797.6
1941-07,517.9
1941-08,458.5
1941-09,257.9
1941-10,221.6
1941-11,220.5
1941-12,84.6
1942-01,2.4
1942-02,4.7
1942-03,23.2
1942-04,180.3
1942-05,191.9
1942-06,813.6
1942-07,828.8
1942-08,329.3
1942-09,99.8
1942-10,374.4
1942-11,84.7
1942-12,117.9
1943-01,83.5
1943-02,14.6
1943-03,38.4
1943-04,107.5
1943-05,478.4
1943-06,794.5
1943-07,831.6
1943-08,183.3
1943-09,257.6
1943-10,427.2
1943-11,223.4
1943-12,24.3
1944-01,6.4
1944-02,26.6
1944-03,61.6
1944-04,61.6
1944-05,212.7
1944-06,498.9
1944-07,614.1
1944-08,230.7
1944-09,155
1944-10,289
1944-11,244.1
1944-12,89.2
1945-01,4.4
1945-02,9.9
1945-03,12.7
1945-04,104.1
1945-05,53.4
1945-06,549.8
1945-07,704
1945-08,351.8
1945-09,110.9
1945-10,253.8
1945-11,259.5
1945-12,18
1946-01,1.8
1946-02,5.4
1946-03,108.4
1946-04,139.8
1946-05,83
1946-06,919
1946-07,671.7
1946-08,695.6
1946-09,199.4
1946-10,266.1
1946-11,273
1946-12,202.3
1947-01,22.2
1947-02,27.3
1947-03,98
1947-04,142.2
1947-05,85.7
1947-06,556.1
1947-07,669.3
1947-08,739.6
1947-09,394.5
1947-10,183.7
1947-11,32.4
1947-12,47
1948-01,43
1948-02,8.3
1948-03,48.2
1948-04,125
1948-05,212.3
1948-06,910.2
1948-07,619
1948-08,487.9
1948-09,166.6
1948-10,183.9
1948-11,215.6
1948-12,19.2
1949-01,0.6
1949-02,1.8
1949-03,4.5
1949-04,98.1
1949-05,440
1949-06,536.3
1949-07,758.7
1949-08,445.2
1949-09,354.5
1949-10,229.1
1949-11,71.9
1949-12,1.8
1950-01,0.1
1950-02,53.7
1950-03,31.1
1950-04,68.5
1950-05,242
1950-06,638.3
1950-07,905.7
1950-08,387.3
1950-09,411.6
1950-10,250.4
1950-11,149.2
1950-12,8.8
1951-01,6.6
1951-02,6.5
1951-03,41.6
1951-04,175.9
1951-05,148.5
1951-06,774.1
1951-07,544.6
1951-08,190.6
1951-09,313.8
1951-10,250.6
1951-11,229.6
1951-12,23.2
1952-01,5.2
1952-02,48.2
1952-03,20.8
1952-04,112.2
1952-05,214.6
1952-06,576.7
1952-07,430
1952-08,413.6
1952-09,57.4
1952-10,339.6
1952-11,49.6
1952-12,66.9
1953-01,13.1
1953-02,22.6
1953-03,18.5
1953-04,132.4
1953-05,55.4
1953-06,340.5
1953-07,1027.6
1953-08,356.4
1953-09,100.5
1953-10,410.5
1953-11,62.2
1953-12,5.1
1954-01,23.5
1954-02,2.8
1954-03,90.6
1954-04,136.9
1954-05,179.5
1954-06,798.3
1954-07,640.5
1954-08,467
1954-09,201.6
1954-10,303.1
1954-11,31.6
1954-12,62.5
1955-01,4.2
1955-02,6.3
1955-03,28.2
1955-04,125.9
1955-05,544.2
1955-06,782.4
1955-07,392.8
1955-08,236
1955-09,438.5
1955-10,378.2
1955-11,178.1
1955-12,19.8
1956-01,7.9
1956-02,11.7
1956-03,15.1
1956-04,151.6
1956-05,351.3
1956-06,755.4
1956-07,466.8
1956-08,319.5
1956-09,178.4
1956-10,353.3
1956-11,178.2
1956-12,9.1
1957-01,1.2
1957-02,16
1957-03,25.7
1957-04,70.2
1957-05,381.2
1957-06,872
1957-07,835.3
1957-08,358.8
1957-09,41.3
1957-10,280.1
1957-11,192.5
1957-12,28.9
1958-01,4.4
1958-02,19.3
1958-03,57.3
1958-04,135.1
1958-05,353.5
1958-06,713.3
1958-07,622.7
1958-08,526.6
1958-09,86.1
1958-10,191
1958-11,206.1
1958-12,7.7
1959-01,3
1959-02,21.4
1959-03,6.3
1959-04,150.7
1959-05,347.2
1959-06,872.8
1959-07,1155.7
1959-08,397.3
1959-09,405.5
1959-10,200.4
1959-11,151.9
1959-12,34
1960-01,9.4
1960-02,8.4
1960-03,44.4
1960-04,206.6
1960-05,540
1960-06,480.3
1960-07,750.9
1960-08,336.8
1960-09,371.2
1960-10,255.9
1960-11,358
1960-12,23.7
1961-01,13.7
1961-02,31.3
1961-03,11.4
1961-04,94.1
1961-05,500.5
1961-06,1005.2
1961-07,1146.5
1961-08,678.3
1961-09,399.3
1961-10,274.2
1961-11,85.9
1961-12,17.5
1962-01,28.4
1962-02,54.7
1962-03,39.6
1962-04,95.1
1962-05,472.4
1962-06,244.9
1962-07,951.1
1962-08,510.7
1962-09,394.9
1962-10,475.6
1962-11,31.5
1962-12,76.9
1963-01,30.2
1963-02,24.8
1963-03,69.8
1963-04,96.3
1963-05,157.1
1963-06,393.3
1963-07,720.2
1963-08,511
1963-09,223.9
1963-10,282.6
1963-11,93.4
1963-12,48.4
1964-01,1.1
1964-02,7.8
1964-03,67.2
1964-04,83.3
1964-05,94.8
1964-06,379.4
1964-07,754.2
